City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
77,Kavieng,PG,81.55,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
79,Atbasar,KZ,83.59,overcast clouds,51.8,68.3333,Гостиничный Комплекс Saad
82,Singapore,SG,80.46,light rain,1.2897,103.8501,The Fullerton Hotel Singapore
83,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
85,Islahiye,TR,88.27,clear sky,37.025,36.6306,İslahiye Sabanci Teachers
86,Meulaboh,ID,75.38,overcast clouds,4.1363,96.1285,Kost Pria
88,Hithadhoo,MV,82.15,clear sky,-0.6,73.0833,Scoop Guest House
89,Diamantino,BR,80.91,scattered clouds,-14.4086,-56.4461,Hotel Delta
100,Hereford,GB,78.69,overcast clouds,52.0568,-2.7148,The Green Dragon Hotel
101,Bondo,CD,81.72,overcast clouds,3.8146,23.6866,
104,Ejido Hermosillo,MX,86.43,clear sky,32.5121,-114.9238,Hotel del Valle
111,Faanui,PF,79.34,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
119,Wattegama,LK,84.52,broken clouds,6.7989,81.4808,
120,Porto Novo,BJ,83.7,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
124,Nieuwpoort,BE,80.24,few clouds,51.1244,2.7735,Hotel Gemeente Huis
127,Acapulco,MX,76.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
128,Kupang,ID,78.64,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
130,Aransas Pass,US,85.01,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
134,Suclayin,PH,76.73,heavy intensity rain,15.7568,121.5503,Costa Pacifica
135,Mulege,MX,84.81,clear sky,26.8833,-111.9833,Casa Granada
136,Palembang,ID,78.89,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
137,Negru Voda,RO,77.02,overcast clouds,43.8167,28.2,Clubul Pensionarilor
138,Avera,US,86.56,scattered clouds,33.194,-82.5271,
141,Hambantota,LK,82.74,scattered clouds,6.1241,81.1185,Bungalow 63
143,Acarau,BR,81.01,scattered clouds,-2.8856,-40.12,castelo pizzaria
149,High Rock,BS,78.82,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
158,Maceio,BR,76.44,mist,-9.6658,-35.7353,Hotel Ponta Verde Maceió
159,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
161,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
162,Porbandar,IN,85.73,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
165,Tiznit,MA,77.9,clear sky,29.5833,-9.5,
167,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
169,Pangody,RU,82.98,clear sky,65.85,74.4859,Elizaveta Shevchuk's House
170,Bria,CF,87.1,broken clouds,6.5423,21.9863,WFP Guesthouse
172,Alexandria,EG,83.32,clear sky,31.2156,29.9553,Royal Crown Hotel
180,East London,ZA,75.29,overcast clouds,-33.0153,27.9116,Tu Casa
181,Gizo,SB,82.2,broken clouds,-8.103,156.8419,Imagination Island
188,Talnakh,RU,85.21,scattered clouds,69.4865,88.3972,Talnakh Hotel
190,Merauke,ID,77.63,overcast clouds,-8.4667,140.3333,
191,Dingle,PH,77.97,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
192,Liverpool,GB,82.98,scattered clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
193,Laredo,US,75.49,clear sky,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
195,Bardiyah,LY,86.2,clear sky,31.7561,25.0865,بورتو بردية
196,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
200,Tengzhou,CN,83.46,clear sky,35.0771,117.1518,GreenTree Inn ShanDong ZaoZhuang TengZhou Middle PingXing Road GuiHe Shell Hotel
205,Nagapattinam,IN,85.5,overcast clouds,10.7667,79.8333,Sathya Lodge
206,Salalah,OM,84.29,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
209,Matara,LK,80.51,clear sky,5.9485,80.5353,Amaloh Boutique Resort
211,Turukhansk,RU,79.03,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
214,Lagos,NG,84.51,light rain,6.5833,3.75,
216,Richards Bay,ZA,75.92,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
219,Hanzhong,CN,79.99,clear sky,33.0728,107.0303,Guorui Hotel
220,Faya,SA,77.52,light rain,18.3851,42.4509,املاك خالد الشعشوع
221,Mus,TR,78.84,few clouds,39.0,41.75,
222,Daru,PG,77.81,scattered clouds,-9.0763,143.2092,Daru Lodge
233,Hargeysa,SO,84.27,overcast clouds,9.56,44.065,City Center Hotel
235,Basco,PH,85.77,few clouds,20.4487,121.9702,Nathaniel's Lodge
