City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,Anadyr,64.75,177.4833,42.22,88,100,2.48,RU,2022-06-22 20:01:51
133,Fairbanks,64.8378,-147.7164,71.49,55,99,1.01,US,2022-06-22 20:01:52
134,Leningradskiy,69.3833,178.4167,43.66,66,78,9.57,RU,2022-06-22 20:01:52
135,Salalah,17.0151,54.0924,80.55,87,99,7.49,OM,2022-06-22 20:01:53
136,Mount Isa,-20.7333,139.5,60.57,48,0,8.05,AU,2022-06-22 20:01:53
137,Goderich,43.7501,-81.7165,65.91,81,67,11.07,CA,2022-06-22 19:59:15
138,Arraial Do Cabo,-22.9661,-42.0278,72.5,84,10,12.91,BR,2022-06-22 20:02:54
139,Gat,31.61,34.7642,75.88,100,0,4.23,IL,2022-06-22 20:02:54
140,Vestmannaeyjar,63.4427,-20.2734,47.66,72,100,12.17,IS,2022-06-22 20:02:54
141,Utete,-7.986,38.758,67.57,86,2,4.03,TZ,2022-06-22 20:02:55
142,Cap Malheureux,-19.9842,57.6142,66.47,77,1,5.01,MU,2022-06-22 20:01:10
143,Ixtapa,20.7,-105.2,88.23,69,97,5.01,MX,2022-06-22 20:00:20
144,Muncar,-8.4333,114.3333,77.61,86,94,5.26,ID,2022-06-22 20:02:55
145,Morro Bay,35.3658,-120.8499,97.93,49,26,10.0,US,2022-06-22 19:59:57
146,Lavrentiya,65.5833,-171.0,41.4,95,100,8.14,RU,2022-06-22 20:02:56
147,Tasiilaq,65.6145,-37.6368,37.35,77,6,5.3,GL,2022-06-22 20:02:56
148,Vao,-22.6667,167.4833,71.02,67,100,17.98,NC,2022-06-22 20:02:56
149,Georgetown,5.4112,100.3354,79.95,92,40,5.99,MY,2022-06-22 19:59:15
150,Dauriya,49.9333,116.8667,59.83,68,100,3.91,RU,2022-06-22 20:02:57
151,Kasuga,33.0333,130.05,72.7,88,54,6.02,JP,2022-06-22 20:02:57
152,Acapulco,16.8634,-99.8901,78.98,87,97,14.72,MX,2022-06-22 19:59:52
153,Erzincan,39.75,39.5,60.1,67,20,11.5,TR,2022-06-22 20:02:58
154,Los Llanos De Aridane,28.6585,-17.9182,65.95,83,75,10.36,ES,2022-06-22 20:02:58
155,Cockburn Town,21.4612,-71.1419,84.16,65,40,9.22,TC,2022-06-22 19:59:27
156,Bambous Virieux,-20.3428,57.7575,66.22,76,28,12.44,MU,2022-06-22 20:02:59
157,Hermanus,-34.4187,19.2345,56.8,81,96,6.22,ZA,2022-06-22 20:02:59
158,Tateyama,34.9833,139.8667,72.1,92,98,6.93,JP,2022-06-22 20:02:59
159,Russell,32.3502,-85.1999,100.38,27,0,10.36,US,2022-06-22 20:03:00
160,Voznesenye,61.0106,35.4781,50.72,75,99,2.84,RU,2022-06-22 20:03:00
161,Orlik,52.5178,99.825,51.15,77,81,4.05,RU,2022-06-22 20:03:00
162,Brits,-25.6347,27.7802,56.17,61,72,13.51,ZA,2022-06-22 20:03:01
163,Castro,-24.7911,-50.0119,66.72,74,2,8.99,BR,2022-06-22 20:03:01
164,Severo-Kurilsk,50.6789,156.125,45.14,94,84,16.15,RU,2022-06-22 20:03:01
165,Mayo,38.8876,-76.5119,85.17,74,40,12.66,US,2022-06-22 20:03:02
166,Portsmouth,50.799,-1.0913,72.91,70,0,5.01,GB,2022-06-22 19:58:36
167,Talnakh,69.4865,88.3972,72.95,43,99,4.29,RU,2022-06-22 20:03:02
168,Santa Isabel,-23.3156,-46.2214,79.9,59,4,4.47,BR,2022-06-22 20:03:02
169,Thompson,55.7435,-97.8558,77.16,38,40,12.66,CA,2022-06-22 19:59:15
170,Takoradi,4.8845,-1.7554,74.7,92,100,7.09,GH,2022-06-22 20:03:03
171,Rolla,37.9514,-91.7713,88.14,62,0,8.05,US,2022-06-22 20:03:03
172,Tarbagatay,51.4803,107.3602,49.53,85,0,3.78,RU,2022-06-22 20:03:04
173,Virginia Beach,36.8529,-75.978,86.05,78,100,12.66,US,2022-06-22 20:01:10
174,Hithadhoo,-0.6,73.0833,83.66,70,58,8.72,MV,2022-06-22 20:03:04
175,Bani,18.2833,-70.3333,89.04,63,98,12.37,DO,2022-06-22 20:03:05
176,Strelka,58.0728,93.0344,58.41,67,100,4.38,RU,2022-06-22 20:03:05
177,Kindu,-2.95,25.95,72.84,83,26,1.99,CD,2022-06-22 20:03:05
178,Hukuntsi,-24.0,21.75,52.32,42,0,7.92,BW,2022-06-22 20:01:18
179,Cape Girardeau,37.3834,-89.7168,93.79,53,9,11.39,US,2022-06-22 20:00:33
180,Usakos,-22.0,15.6,49.86,51,0,3.87,NA,2022-06-22 20:03:06
181,Kaitangata,-46.2817,169.8464,32.79,73,72,3.96,NZ,2022-06-22 20:03:06
182,Brae,60.3964,-1.353,52.84,96,100,22.77,GB,2022-06-22 20:03:06
183,Sao Filipe,14.8961,-24.4956,76.15,87,73,5.08,CV,2022-06-22 20:03:07
184,Padang,-0.9492,100.3543,76.12,88,98,4.36,ID,2022-06-22 20:03:07
185,Ciudad Bolivar,8.1222,-63.5497,88.41,56,56,7.4,VE,2022-06-22 20:04:08
186,Nueva Gerona,21.8833,-82.8,85.1,58,100,6.26,CU,2022-06-22 20:04:08
187,Gbarnga,6.9956,-9.4722,72.3,97,54,2.77,LR,2022-06-22 20:04:08
188,San Patricio,28.017,-97.5169,97.52,36,8,15.79,US,2022-06-22 20:04:08
189,Nguruka,-5.1092,31.0419,65.05,43,4,4.45,TZ,2022-06-22 20:04:09
190,Concepcion Del Oro,24.6333,-101.4167,74.66,33,93,14.81,MX,2022-06-22 20:04:09
191,Ati,13.2154,18.3353,97.07,26,35,4.21,TD,2022-06-22 20:04:09
192,Hasaki,35.7333,140.8333,70.29,96,100,9.08,JP,2022-06-22 20:04:10
193,Porto Torres,40.835,8.3972,77.18,73,52,6.73,IT,2022-06-22 20:04:10
194,Udachnyy,66.4167,112.4,63.07,71,27,3.22,RU,2022-06-22 20:04:10
