City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Warrnambool,AU,2022-06-23 13:12:39,-38.3833,142.4833,59.81,77,100,20.31,moderate rain
104,Ejido Hermosillo,MX,2022-06-23 13:12:39,32.5121,-114.9238,86.43,39,0,5.7,clear sky
105,West Wendover,US,2022-06-23 13:12:40,40.7391,-114.0733,60.01,39,0,3.44,clear sky
106,Havoysund,NO,2022-06-23 13:12:40,70.9963,24.6622,53.83,87,100,5.37,light rain
107,Zhigansk,RU,2022-06-23 13:12:41,66.7697,123.3711,54.61,54,73,8.25,broken clouds
108,Nelson Bay,AU,2022-06-23 13:12:41,-32.7167,152.15,51.1,84,30,12.88,scattered clouds
109,Sabha,LY,2022-06-23 13:12:42,27.0377,14.4283,99.16,7,0,7.74,clear sky
110,Tuktoyaktuk,CA,2022-06-23 13:12:42,69.4541,-133.0374,37.17,78,100,9.44,overcast clouds
111,Faanui,PF,2022-06-23 13:12:42,-16.4833,-151.75,79.34,66,90,6.96,overcast clouds
112,Shebalino,RU,2022-06-23 13:12:43,51.2917,85.6772,73.27,68,0,3.44,clear sky
113,Isangel,VU,2022-06-23 13:12:43,-19.55,169.2667,72.48,80,100,5.55,overcast clouds
114,Port Hedland,AU,2022-06-23 13:12:44,-20.3167,118.5667,66.25,72,4,1.14,clear sky
115,Ellisras,ZA,2022-06-23 13:12:44,-23.6649,27.7443,69.78,44,6,9.75,clear sky
116,Bell Ville,AR,2022-06-23 13:12:44,-32.6259,-62.6887,40.55,69,51,2.37,broken clouds
117,Brigantine,US,2022-06-23 13:12:45,39.4101,-74.3646,70.14,83,20,12.66,few clouds
118,Comodoro Rivadavia,AR,2022-06-23 13:12:45,-45.8667,-67.5,33.66,55,0,5.75,clear sky
119,Wattegama,LK,2022-06-23 13:12:45,6.7989,81.4808,84.52,58,84,5.99,broken clouds
120,Porto Novo,BJ,2022-06-23 13:12:46,6.4965,2.6036,83.7,67,86,7.76,light rain
121,Aklavik,CA,2022-06-23 13:12:46,68.2191,-135.0107,47.7,58,99,13.09,overcast clouds
122,Okhotsk,RU,2022-06-23 13:12:46,59.3833,143.3,48.36,94,100,5.86,overcast clouds
123,Sioux Lookout,CA,2022-06-23 13:08:28,50.1001,-91.917,64.47,77,75,8.05,broken clouds
124,Nieuwpoort,BE,2022-06-23 13:12:47,51.1244,2.7735,80.24,57,20,13.8,few clouds
125,Goba,ET,2022-06-23 13:12:47,7.0167,39.9833,61.79,66,99,4.99,light rain
126,Longyearbyen,SJ,2022-06-23 13:08:43,78.2186,15.6401,42.64,61,75,28.77,broken clouds
127,Acapulco,MX,2022-06-23 13:12:48,16.8634,-99.8901,76.82,88,100,6.91,overcast clouds
128,Kupang,ID,2022-06-23 13:12:48,-10.1667,123.5833,78.64,71,100,13.98,overcast clouds
129,Verkhoyansk,RU,2022-06-23 13:12:48,67.5447,133.385,52.11,49,2,12.44,clear sky
130,Aransas Pass,US,2022-06-23 13:12:49,27.9095,-97.15,85.01,88,0,5.75,clear sky
131,Gimbi,ET,2022-06-23 13:12:49,9.1667,35.8333,68.59,73,99,1.77,light rain
132,Broken Hill,AU,2022-06-23 13:12:50,-31.95,141.4333,52.86,66,0,12.15,clear sky
133,Hermanus,ZA,2022-06-23 13:12:50,-34.4187,19.2345,51.8,83,100,15.59,moderate rain
134,Suclayin,PH,2022-06-23 13:12:51,15.7568,121.5503,76.73,92,100,2.46,heavy intensity rain
135,Mulege,MX,2022-06-23 13:12:51,26.8833,-111.9833,84.81,49,7,2.51,clear sky
136,Palembang,ID,2022-06-23 13:12:51,-2.9167,104.7458,78.89,89,40,2.3,scattered clouds
137,Negru Voda,RO,2022-06-23 13:13:52,43.8167,28.2,77.02,31,100,12.08,overcast clouds
138,Avera,US,2022-06-23 13:13:52,33.194,-82.5271,86.56,45,37,9.17,scattered clouds
139,Torbay,CA,2022-06-23 13:13:53,47.6666,-52.7314,71.89,73,98,3.0,overcast clouds
140,Tokur,RU,2022-06-23 13:13:53,53.1333,132.9,51.35,99,23,4.38,few clouds
141,Hambantota,LK,2022-06-23 13:13:54,6.1241,81.1185,82.74,74,46,20.18,scattered clouds
142,Lebu,CL,2022-06-23 13:11:15,-37.6167,-73.65,49.55,90,100,10.8,light rain
143,Acarau,BR,2022-06-23 13:13:54,-2.8856,-40.12,81.01,70,27,13.24,scattered clouds
144,Ahipara,NZ,2022-06-23 13:13:55,-35.1667,173.1667,53.02,87,43,9.01,scattered clouds
145,Puerto Ayora,EC,2022-06-23 13:13:55,-0.7393,-90.3518,69.55,95,83,5.01,broken clouds
146,Iqaluit,CA,2022-06-23 13:13:56,63.7506,-68.5145,37.49,71,100,4.03,overcast clouds
147,Provideniya,RU,2022-06-23 13:13:56,64.3833,-173.3,41.2,96,100,8.88,overcast clouds
148,Baykit,RU,2022-06-23 13:13:57,61.67,96.37,68.11,51,100,5.26,overcast clouds
149,High Rock,BS,2022-06-23 13:13:57,26.6208,-78.2833,78.82,65,100,3.06,overcast clouds
150,Falam,MM,2022-06-23 13:13:58,22.9167,93.6833,65.1,96,100,3.09,overcast clouds
151,Beloha,MG,2022-06-23 13:13:58,-25.1667,45.05,70.92,44,0,16.22,clear sky
152,Mahebourg,MU,2022-06-23 13:13:59,-20.4081,57.7,70.09,78,75,16.11,broken clouds
153,Airai,TL,2022-06-23 13:13:59,-8.9266,125.4092,58.26,94,98,4.32,overcast clouds
154,Bethel,US,2022-06-23 13:13:59,41.3712,-73.414,66.56,87,75,5.75,broken clouds
155,Pangnirtung,CA,2022-06-23 13:14:00,66.1451,-65.7125,47.86,66,47,2.75,scattered clouds
156,Post Falls,US,2022-06-23 13:14:00,47.718,-116.9516,55.85,62,0,5.75,clear sky
157,Necochea,AR,2022-06-23 13:11:34,-38.5473,-58.7368,40.32,77,100,6.55,overcast clouds
158,Maceio,BR,2022-06-23 13:13:56,-9.6658,-35.7353,76.44,88,100,8.05,mist
159,Georgetown,MY,2022-06-23 13:09:22,5.4112,100.3354,84.13,79,20,0.0,few clouds
160,Homer,US,2022-06-23 13:14:01,59.6425,-151.5483,56.77,92,0,4.0,mist
161,Nhulunbuy,AU,2022-06-23 13:14:02,-12.2333,136.7667,75.81,78,75,13.8,broken clouds
162,Porbandar,IN,2022-06-23 13:14:02,21.6422,69.6093,85.73,73,100,14.92,overcast clouds
163,Grindavik,IS,2022-06-23 13:14:03,63.8424,-22.4338,46.87,61,0,32.21,clear sky
164,Srednekolymsk,RU,2022-06-23 13:14:03,67.45,153.6833,46.81,47,11,5.84,few clouds
165,Tiznit,MA,2022-06-23 13:14:04,29.5833,-9.5,77.9,34,0,11.39,clear sky
166,Oranjemund,NA,2022-06-23 13:14:04,-28.55,16.4333,64.02,61,5,13.49,clear sky
167,Sao Joao Da Barra,BR,2022-06-23 13:12:35,-21.6403,-41.0511,78.89,59,0,8.3,clear sky
168,Bambous Virieux,MU,2022-06-23 13:14:05,-20.3428,57.7575,70.05,78,75,16.11,light rain
169,Pangody,RU,2022-06-23 13:14:05,65.85,74.4859,82.98,27,9,11.99,clear sky
170,Bria,CF,2022-06-23 13:14:06,6.5423,21.9863,87.1,55,63,4.09,broken clouds
171,Kununurra,AU,2022-06-23 13:14:06,-15.7667,128.7333,62.58,59,98,0.0,overcast clouds
